author,name
https://dblp.org/pid/06/10848,Yulong Huang
https://dblp.org/pid/06/10872,Prashanth Mundkur
https://dblp.org/pid/06/11515,Nicholas Seltzer
https://dblp.org/pid/06/1152,Andreas Stefik
https://dblp.org/pid/06/1994,Bruce F. Duba
https://dblp.org/pid/06/1998,Yang He
https://dblp.org/pid/06/2224,Don Stewart
https://dblp.org/pid/06/2243,Quan Zhang
https://dblp.org/pid/06/2525,Jacob Harris
https://dblp.org/pid/06/29,Michelle Mills Strout
https://dblp.org/pid/06/3094,Alan Eustace
https://dblp.org/pid/06/3161,Susan S. Owicki
https://dblp.org/pid/06/3494-1,Xinyu Feng
https://dblp.org/pid/06/3968,Sion Berkowits
https://dblp.org/pid/06/4000,Ed Feldhousen
https://dblp.org/pid/06/4003,Todd B. Knoblock
https://dblp.org/pid/06/4240-11,Zhe Chen
https://dblp.org/pid/06/4387,Michael Greenberg
https://dblp.org/pid/06/4992,Ron Duisberg
https://dblp.org/pid/06/5033,Dimitrios Prountzos
https://dblp.org/pid/06/5042,Bruno De Bus
https://dblp.org/pid/06/5053,Rita Borgo
https://dblp.org/pid/06/5410,Larry K. Raper
https://dblp.org/pid/06/5514-1,Hao Zhong
https://dblp.org/pid/06/556,Denis Dancanet
https://dblp.org/pid/06/5627,Maggie Davis
https://dblp.org/pid/06/5665,Vatsa Santhanam
https://dblp.org/pid/06/588,Alexei Kopylov
https://dblp.org/pid/06/5912,Ajay Chander
https://dblp.org/pid/06/60,Alwyn Goodloe
https://dblp.org/pid/06/634,Lawrence W. Zurawski
https://dblp.org/pid/06/6368,Wei-Chung Hsu
https://dblp.org/pid/06/6400,Steven Wereley
https://dblp.org/pid/06/6678,René Rydhof Hansen
https://dblp.org/pid/06/7803,Pablo Barenbaum
https://dblp.org/pid/06/8153,Tobias Pape
https://dblp.org/pid/06/8160,Ted Hart
https://dblp.org/pid/06/8325,Bharghava Rajaram
https://dblp.org/pid/06/9033,Kwok-Chiang Andrew Chung
https://dblp.org/pid/06/9289,Peter Hofer
https://dblp.org/pid/06/9687,Xiongnan (Newman) Wu
https://dblp.org/pid/07/10166,Marek Materzok
https://dblp.org/pid/07/11515,Joseph Tassarotti
https://dblp.org/pid/07/1173,Andrew Moran
https://dblp.org/pid/07/1299,Gerald DeJong
https://dblp.org/pid/07/1483,Dennis M. Volpano
https://dblp.org/pid/07/197,Sam Staton
https://dblp.org/pid/07/201-1,Nishant Sinha
https://dblp.org/pid/07/201,Nishant Sinha
https://dblp.org/pid/07/2220,Amit Rao
https://dblp.org/pid/07/2585,Damien Sereni
https://dblp.org/pid/07/2946,Michal Young
https://dblp.org/pid/07/3011,P. Geoffrey Lowney
https://dblp.org/pid/07/3119,Michael Carbin
https://dblp.org/pid/07/3260,Alexis Darrasse
https://dblp.org/pid/07/3321,Karl J. Ottenstein
https://dblp.org/pid/07/3368,Tevfik Bultan
https://dblp.org/pid/07/3381,Amit Fisher
https://dblp.org/pid/07/3483,Yuan Lin
https://dblp.org/pid/07/3797,Sayan Mitra
https://dblp.org/pid/07/3882,Christian Skalka
https://dblp.org/pid/07/4137,Ben-Chung Cheng
https://dblp.org/pid/07/4182-2,Chun Chen
https://dblp.org/pid/07/4233,Baudouin Le Charlier
https://dblp.org/pid/07/4283,Christopher Barton
https://dblp.org/pid/07/5138,Ryder Ziola
https://dblp.org/pid/07/5173,David E. Bernholdt
https://dblp.org/pid/07/521,Michael F. P. O'Boyle
https://dblp.org/pid/07/5251,Nava Aizikowitz
https://dblp.org/pid/07/5418,Prateek Mishra
https://dblp.org/pid/07/5716,Brian W. Thomson
https://dblp.org/pid/07/5743,Scott Moore
https://dblp.org/pid/07/5751,Hao Tang
https://dblp.org/pid/07/5865,Kartik Chandra
https://dblp.org/pid/07/5922,Toon Verwaest
https://dblp.org/pid/07/6559,Martin Schulz
https://dblp.org/pid/07/6715,Mayan Moudgill
https://dblp.org/pid/07/6911,Mahadevan Ganapathi
https://dblp.org/pid/07/70,Ganesh Ramanarayanan
https://dblp.org/pid/07/7033,Jeffrey Kodosky
https://dblp.org/pid/07/706-5,Hongyu Liu
https://dblp.org/pid/07/7063,Ji-Yong Shin
https://dblp.org/pid/07/7722-2,Alessandro Di Giorgio
https://dblp.org/pid/07/7975,Pablo Buiras
https://dblp.org/pid/07/8610,Julien Cretin
https://dblp.org/pid/07/8653,Yongwhan Lim
https://dblp.org/pid/07/8898,Edd Barrett
https://dblp.org/pid/07/9126,Lucas Brutschy
https://dblp.org/pid/07/9556,Aaron Gember
https://dblp.org/pid/07/967-1,Nuno Santos
https://dblp.org/pid/07/9927-1,Kaushik Ravichandran
https://dblp.org/pid/08/10019,Fredrik Dahlqvist
https://dblp.org/pid/08/1408,Jeremy Isaak
https://dblp.org/pid/08/1510,Kristin E. Lauter
https://dblp.org/pid/08/1840-1,Simon Fowler
https://dblp.org/pid/08/1871,John Daniels
https://dblp.org/pid/08/2161,Xuanzhe Liu
https://dblp.org/pid/08/2582,Akihiko Tozawa
https://dblp.org/pid/08/2673,Zhaojun Bai
https://dblp.org/pid/08/2710,Andrew McCreight
https://dblp.org/pid/08/2853,Tamar Domani
https://dblp.org/pid/08/3395,Ian Stark
https://dblp.org/pid/08/3432,Jacques Mossière
https://dblp.org/pid/08/3478,Benjamin Delaware
https://dblp.org/pid/08/3480,Scott K. Warren
https://dblp.org/pid/08/3521,Rajagopal Nagarajan
https://dblp.org/pid/08/3684,Heidi Pan
https://dblp.org/pid/08/3738,Raghavendra Ramesh
https://dblp.org/pid/08/4002,Depei Qian
https://dblp.org/pid/08/4285,John Hui
https://dblp.org/pid/08/4435,Rina S. Cohen
https://dblp.org/pid/08/4601,Samuel Larsen
https://dblp.org/pid/08/4657,Anton Nijholt
https://dblp.org/pid/08/4732,Donald E. Porter
https://dblp.org/pid/08/4819,David Gudeman
https://dblp.org/pid/08/525,Nadji Gauthier
https://dblp.org/pid/08/5259,João Costa Seco
https://dblp.org/pid/08/5302,Margaretha W. Price
https://dblp.org/pid/08/5341,Meilir Page-Jones
https://dblp.org/pid/08/5665,Uri Silbershtein
https://dblp.org/pid/08/5760-5,Xi Wang
https://dblp.org/pid/08/5760,Xi Wang
https://dblp.org/pid/08/5863,Ray Strong
https://dblp.org/pid/08/5873,Benjamin Ransford
https://dblp.org/pid/08/6154,Alexander Katz
https://dblp.org/pid/08/6436,Pascal André
https://dblp.org/pid/08/649,Sigbjørn Finne
https://dblp.org/pid/08/6531,Robert Hood
https://dblp.org/pid/08/6611,Shoumeng Yan
https://dblp.org/pid/08/6799,Constantinos Sourelis
https://dblp.org/pid/08/6824,Santosh Pande
https://dblp.org/pid/08/6873,John Potter
https://dblp.org/pid/08/6978,John Duimovich
https://dblp.org/pid/08/7028,Julian Dolby
https://dblp.org/pid/08/7062,Omer Tripp
https://dblp.org/pid/08/7193,Stefan Ciobaca
https://dblp.org/pid/08/7270,Luis María Ferrer Fioriti
https://dblp.org/pid/08/7637,Fuyuan Zhang
https://dblp.org/pid/08/7863,Daniel Lo
https://dblp.org/pid/08/8025,Sanket Tavarageri
https://dblp.org/pid/09/0,Min Xu
https://dblp.org/pid/09/1000,Jonathan Ragan-Kelley
https://dblp.org/pid/09/10016,Fu Song
https://dblp.org/pid/09/1276,Todd Mytkowicz
https://dblp.org/pid/09/1281-5,Thomas Koehler
https://dblp.org/pid/09/169,Scott Trent
https://dblp.org/pid/09/1732,Sai Charan Koduru
https://dblp.org/pid/09/1778,Franco Civello
https://dblp.org/pid/09/1954,Zhanyong Wan
https://dblp.org/pid/09/1985,David J. Duke
https://dblp.org/pid/09/1994,Reuben Olinsky
https://dblp.org/pid/09/202,Judy Cohen
https://dblp.org/pid/09/2064,Rohit Parikh
https://dblp.org/pid/09/2281,Catalin Hritcu
https://dblp.org/pid/09/3004,Joseph A. Konstan
https://dblp.org/pid/09/3172,Manish Vachharajani
https://dblp.org/pid/09/3256,Aashish Phansalkar
https://dblp.org/pid/09/3424,Tim O'Shea
https://dblp.org/pid/09/3432,Hang Pham
https://dblp.org/pid/09/3568,Michael B. Taylor
https://dblp.org/pid/09/3668,Sooel Son
https://dblp.org/pid/09/3669,Yitzhak Mandelbaum
https://dblp.org/pid/09/4057,Wen-Chuan Lee
https://dblp.org/pid/09/4061,W. E. Gull
https://dblp.org/pid/09/4308,Roland Ducournau
https://dblp.org/pid/09/4612,Tongxin Bai
https://dblp.org/pid/09/486-2,Shaohua Wang
https://dblp.org/pid/09/4951,Romain Péchoux
https://dblp.org/pid/09/5111,Julian Seward
https://dblp.org/pid/09/5151,Ward Cunningham
https://dblp.org/pid/09/5388,Melanie Harries
https://dblp.org/pid/09/5425,Anthony Cocchi
https://dblp.org/pid/09/5657,G. Edward Suh
https://dblp.org/pid/09/5661,Yuchen Zhang
https://dblp.org/pid/09/5694,Michael F. Kilian
https://dblp.org/pid/09/573,Jay P. Hoeflinger
https://dblp.org/pid/09/5757,Philippe Wang
https://dblp.org/pid/09/5920,Cristóbal Pareja-Flores
https://dblp.org/pid/09/6086,Marilyn Stelzner
https://dblp.org/pid/09/6585-2,Jiang Ming
https://dblp.org/pid/09/6659,Eijiro Sumii
https://dblp.org/pid/09/6787,Scott D. Stoller
https://dblp.org/pid/09/7063,Boris Zbarsky
https://dblp.org/pid/09/8049,Wenjun Shi
https://dblp.org/pid/09/8165,Stephen Tu
https://dblp.org/pid/09/8199,Youngjoon Jo
https://dblp.org/pid/09/8269-1,Yuting Wang
https://dblp.org/pid/09/8600-1,Qing Liao
https://dblp.org/pid/09/8610,Iustin Pop
https://dblp.org/pid/09/9883,Michaël Marcozzi
https://dblp.org/pid/10/1143,Zheng Li
https://dblp.org/pid/10/11515,Emilio Coppa
