id,name,score,rank
https://dblp.org/pid/00/6362,Dimitrios Vytiniotis,0.001210921630439732,105.0
https://dblp.org/pid/s/BjarneSteensgaard,Bjarne Steensgaard,0.0012084472214739027,106.0
https://dblp.org/pid/c/GiuseppeCastagna,Giuseppe Castagna,0.0012009990356606928,107.0
https://dblp.org/pid/c/WilliamRCook,William R. Cook,0.001200836947533456,108.0
https://dblp.org/pid/92/6794,Mayur Naik,0.0011956277312161361,109.0
https://dblp.org/pid/r/GRamalingam,G. Ramalingam,0.0011752941625165843,110.0
https://dblp.org/pid/70/3373,Aleksandar Nanevski,0.0011735478259904642,111.0
https://dblp.org/pid/05/469,Ondrej Lhoták,0.0011725330798967755,112.0
https://dblp.org/pid/s/GuyLSteeleJr,Guy L. Steele Jr.,0.0011665473048946932,113.0
https://dblp.org/pid/57/2128,Matthew Might,0.001165689672026601,114.0
https://dblp.org/pid/19/5443,Matthew J. Parkinson,0.0011606734774417817,115.0
https://dblp.org/pid/56/3287,Sam Tobin-Hochstadt,0.0011586926035452737,116.0
https://dblp.org/pid/t/PeterThiemann,Peter Thiemann,0.0011536657877960557,117.0
https://dblp.org/pid/04/418,Koushik Sen,0.0011517205929640357,118.0
https://dblp.org/pid/98/4487,Emery D. Berger,0.0011432438379516772,119.0
https://dblp.org/pid/29/3287,Erez Petrank,0.0011356547630623397,120.0
https://dblp.org/pid/p/WilliamPugh,William W. Pugh,0.0011081768436524372,121.0
https://dblp.org/pid/06/3494-1,Xinyu Feng,0.0011022695862408986,122.0
https://dblp.org/pid/r/JohnCReynolds,John C. Reynolds,0.0011013917158322224,123.0
https://dblp.org/pid/96/8576,Robbert Krebbers,0.0010991125925367197,124.0
https://dblp.org/pid/j/MarkPJones,Mark P. Jones,0.0010956934077497283,125.0
https://dblp.org/pid/32/524,Frank Tip,0.0010886574907150587,126.0
https://dblp.org/pid/83/2559,Manu Sridharan,0.001084553614998285,127.0
https://dblp.org/pid/l/PeterLee1,Peter Lee,0.0010844063359551506,128.0
https://dblp.org/pid/39/3002,Henry Lieberman,0.0010831352474334663,129.0
https://dblp.org/pid/p/APodelski,Andreas Podelski,0.0010702535064140842,130.0
https://dblp.org/pid/p/TAProebsting,Todd A. Proebsting,0.0010620086487452397,131.0
https://dblp.org/pid/82/5808,Hongseok Yang,0.0010610101956188454,132.0
https://dblp.org/pid/j/RalphEJohnson,Ralph E. Johnson,0.0010590674230097745,133.0
https://dblp.org/pid/h/UrsHolzle,Urs Hölzle,0.0010560212489369686,134.0
https://dblp.org/pid/77/2466,David Van Horn,0.0010468811068431497,135.0
https://dblp.org/pid/65/3115,Daniel H. H. Ingalls,0.0010389100251615667,136.0
https://dblp.org/pid/01/680,Nicolas Halbwachs,0.0010361709345098058,137.0
https://dblp.org/pid/c/RCartwright,Robert Cartwright,0.0010360894425627425,138.0
https://dblp.org/pid/b/DavidFBacon,David F. Bacon,0.0010311560551193337,139.0
https://dblp.org/pid/73/4688,F. Kenneth Zadeck,0.0010281788331096427,140.0
https://dblp.org/pid/f/CedricFournet,Cédric Fournet,0.0010228920025030846,141.0
https://dblp.org/pid/29/3598,John Whaley,0.001015090367041995,142.0
https://dblp.org/pid/93/2262,Andrew Kennedy,0.0010126209949150949,143.0
https://dblp.org/pid/24/2888,Zachary Tatlock,0.0010009848784078151,144.0
https://dblp.org/pid/h/NevinHeintze,Nevin Heintze,0.0009964624066941023,145.0
https://dblp.org/pid/89/1353,Peter F. Sweeney,0.0009918826996457278,146.0
https://dblp.org/pid/23/2569,William D. Clinger,0.0009905617386868483,147.0
https://dblp.org/pid/l/KRMLeino,K. Rustan M. Leino,0.0009892455837057367,148.0
https://dblp.org/pid/m/RobinMilner,Robin Milner,0.000986809791516092,149.0
https://dblp.org/pid/75/3287,Chung-Kil Hur,0.0009805873664380117,150.0
https://dblp.org/pid/75/425,Jan Hoffmann,0.0009780571735427633,151.0
